Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
Maia Hotel Jakarta,Good,7.8,411,67,Superior Twin Room,Jakarta,Indonesia
Mangkuluhur Residences by Lorin,Wonderful,9,18,127,Residences Business King,Jakarta,Indonesia
Manhattan Hotel Jakarta,Good,7.6,214,98,Executive King Room,Jakarta,Indonesia
Menteng Park Exclusive Emerald,Good,7.3,247,72,Superior Apartment,Jakarta,Indonesia
Mercure Jakarta Batavia,Very Good,8.3,"1,705",,Classic Double Room - Inland Side,Jakarta,Indonesia
Mercure Jakarta Pantai Indah Kapuk,Good,7.8,482,,Superior King Room,Jakarta,Indonesia
Mercure Jakarta Sabang,Very Good,8.4,706,,Superior Double Room,Jakarta,Indonesia
Mk House Scbd,Good,7.5,42,19,Double Room,Jakarta,Indonesia
Mövenpick Hotel Jakarta City Centre,Wonderful,9,245,,Classic Twin Room,Jakarta,Indonesia
Nostoi,Good,7.6,66,35,Standard Studio,Jakarta,Indonesia
Novotel Jakarta Gajah Mada,Good,7.2,256,,Superior Double Room,Jakarta,Indonesia
Oria Hotel Jakarta,Good,7.2,232,51,Superior Double Room,Jakarta,Indonesia
Park 5 Cilandak,Very Good,8.1,92,40,Standard Double Room,Jakarta,Indonesia
Park Hyatt Jakarta,Exceptional,9.6,240,,King Room,Jakarta,Indonesia
PARKROYAL Serviced Suites Jakarta,Wonderful,9,202,118,Studio Suite,Jakarta,Indonesia
Pullman Jakarta Central Park,Very Good,8.5,888,,Deluxe Double Room,Jakarta,Indonesia
Raffles Jakarta,Wonderful,9.3,365,,Raffles Twin Room,Jakarta,Indonesia
RedDoorz Plus near Dunia Fantasi Ancol,Review score,6.9,119,14,Double Room,Jakarta,Indonesia
S7 SUITES GANDARIA,Review score,6.2,68,55,Superior Double Room,Jakarta,Indonesia
"Sari Pacific Jakarta, Autograph Collection",Very Good,8.2,305,,Grand Deluxe King Room with City View,Jakarta,Indonesia
Somerset Kencana Jakarta,Wonderful,9.2,21,,One-Bedroom Executive,Jakarta,Indonesia
Stanley Wahid Hasyim Jakarta,Very Good,8.4,"1,654",44,Superior Queen Room,Jakarta,Indonesia
Sudirman Suites,Review score,6.4,13,,Two-Bedroom Apartment,Jakarta,Indonesia
Sutasoma Hotel,Excellent,8.7,266,82,Deluxe King Room,Jakarta,Indonesia
Swiss-Belhotel Pondok Indah,Good,7.9,333,,Deluxe Double Room,Jakarta,Indonesia
The Dharmawangsa Jakarta,Wonderful,9.2,337,284,Executive Double or Twin Room,Jakarta,Indonesia
The Grand Mansion Menteng by The Crest Collection,Exceptional,9.5,10,194,1-Bedroom Burgraaf,Jakarta,Indonesia
The Gunawarman,Very Good,8.1,72,,Mansard Double Room,Jakarta,Indonesia
"The Hermitage, A Tribute Portfolio Hotel, Jakarta",Excellent,8.9,259,,Deluxe Double Room,Jakarta,Indonesia
"The Orient Jakarta, a Royal Hideaway Hotel",Wonderful,9.1,532,132,Superior Room - King or Twin Bed,Jakarta,Indonesia
The Westin Jakarta,Excellent,8.9,127,,"Westin King, Guest room, 1 King",Jakarta,Indonesia
Vasaka Hotel Jakarta Managed by Dafam,Good,7.9,95,37,Deluxe Twin Room,Jakarta,Indonesia
Veranda Serviced Residence Puri,Very Good,8,148,,Deluxe Twin Room,Jakarta,Indonesia
Vertu Harmoni Jakarta,Excellent,8.7,278,58,V Room,Jakarta,Indonesia
Wyndham Casablanca Jakarta,Very Good,8.2,"1,856",,Deluxe Urban King Room - Smoking,Jakarta,Indonesia
@Sandton Hotel,Very Good,8.5,"6,835",83,Standard King Room,Johannesburg,South Africa
"54 on Bath, Johannesburg Rosebank",Excellent,8.9,640,190,Deluxe Room King Bed,Johannesburg,South Africa
Amberhall Guesthouse,Wonderful,9.3,358,92,Twin Room,Johannesburg,South Africa
BlackBrick Bedfordview ApartHotel,Excellent,8.7,662,48,Studio with Garden View,Johannesburg,South Africa
BlackBrick Sandton Two,Very Good,8.1,"4,565",58,Superior Studio,Johannesburg,South Africa
City Lodge Hotel Bryanston,Very Good,8,575,,Double Room - Disability Access,Johannesburg,South Africa
City Lodge Hotel Eastgate,Very Good,8.4,236,,Studio,Johannesburg,South Africa
City Lodge Hotel Fourways,Very Good,8.2,"1,311",,Double Room - Smoking,Johannesburg,South Africa
"City Lodge Hotel Sandton, Morningside",Very Good,8.4,951,,Double Room - Non-Smoking,Johannesburg,South Africa
Eagles Nest Lodge,Very Good,8.2,105,72,Double Room with Private Bathroom,Johannesburg,South Africa
Garden Court Sandton City,Very Good,8.2,"8,451",,Standard Queen Room - Non Smoking,Johannesburg,South Africa
Hoeveld House,Excellent,8.7,565,166,Junior Suite,Johannesburg,South Africa
Holiday Inn Johannesburg-Rosebank by IHG,Very Good,8.3,"1,199",,Standard Queen Room - Smoking,Johannesburg,South Africa
Home Suite Hotels Rosebank,Wonderful,9.3,"1,674",81,The Home Standard,Johannesburg,South Africa
"Indaba Hotel, Spa & Conference Center",Good,7.8,"1,638",61,Standard Double Room,Johannesburg,South Africa
